code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004495,Wandsworth 024A,Wandsworth,0.0,1.0,3.0,0.0,13.0,1.0,41.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.08257515,1.5233531499999999e-05,4.8116595e-09,6.5849684e-07,4.956737600000001e-07,3.3458276000000003e-13,0.0
E01004496,Wandsworth 024B,Wandsworth,0.0,6.0,28.0,0.0,31.0,8.0,95.0,3.0,0.0,19.0,17.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.045705643,9.479315e-06,0.0,0.03274705,1.0,0.011376826000000001,0.11861861,0.00013504087
E01004498,Wandsworth 031D,Wandsworth,0.0,3.0,7.0,0.0,11.0,1.0,20.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8819628e-09,3.741623e-15,0.0,0.025611652000000002,0.00083811115,1.0,2.4184476e-07,4.9648405e-09
E01004499,Wandsworth 020A,Wandsworth,0.0,1.0,5.0,0.0,3.0,4.0,12.0,1.0,2.0,11.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.8430374e-07,7.485511e-15,7.8732705e-18,0.0,7.27087e-09,6.651141e-08,1.0,0.021716943
E01004500,Wandsworth 014A,Wandsworth,0.0,2.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004501,Wandsworth 014B,Wandsworth,0.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.44636193,0.0,1.0570158500000001e-11,0.01760473,0.08718394,1.0,1.7659535999999998e-07,1.496095e-08
E01004502,Wandsworth 020B,Wandsworth,1.0,1.0,2.0,0.0,2.0,1.0,9.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004503,Wandsworth 014C,Wandsworth,0.0,2.0,0.0,0.0,2.0,4.0,5.0,0.0,2.0,13.0,11.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8316296000000001,2.4244715e-05,4.4069857000000005e-06,1.0,0.025848733,0.09850594,4.32186e-07,0.0
E01004504,Wandsworth 020C,Wandsworth,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.4709594e-09,2.1929257e-11,1.1606164e-07,3.1928207000000003e-06,0.91593856,9.898111999999999e-08
E01004505,Wandsworth 014D,Wandsworth,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
