SWI,INTERSECT,ACCOMM,EDU,IMD2019Ind,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,DENSITY_R,DEN_0_17,DEN_18_64,DEN_65
24.0,45.0,0.0,0.0,5243.0,0.0,9.0,3.0,22.0,0.0,0.0,0.19628287840128,5884.58045000126,11422.457911706268,744.9429072851914
5.0,15.0,0.0,1.0,8333.0,0.0,0.0,2.0,5.0,0.0,0.0,0.149264773336491,3876.1711734323085,7142.783170397439,1062.8211281991814
8.0,18.0,0.0,2.0,5303.0,0.0,0.0,1.0,5.0,1.0,0.0,0.149436919774118,3186.96676036235,6944.931731956289,995.9271126132345
10.0,68.0,0.0,6.0,5097.0,0.0,5.0,12.0,36.0,4.0,4.0,0.05461249581856,370.36561092062533,733.3104172508556,141.66990581663262
1.0,27.0,1.0,3.0,12389.0,0.0,1.0,2.0,4.0,0.0,1.0,0.151136592690893,1726.7351463346415,3686.5992941194977,1556.8275690065188
18.0,33.0,0.0,1.0,4760.0,0.0,7.0,6.0,14.0,1.0,2.0,0.155518241303722,2901.6079393759283,4861.8679810442345,683.9756260497328
14.0,48.0,0.0,2.0,12267.0,0.0,4.0,4.0,13.0,6.0,2.0,0.068551754541867,513.1777047517336,1306.0550361118023,325.9211750732719
2.0,49.0,0.0,3.0,8037.0,2.0,25.0,1.0,48.0,7.0,2.0,0.108472306890343,1318.01298650895,2978.709349510227,656.3704672814571
1.0,17.0,0.0,0.0,4879.0,0.0,1.0,0.0,4.0,0.0,1.0,0.152282946147106,3452.314310602447,6421.44467103944,1316.5011975522518
2.0,36.0,0.0,3.0,5575.0,1.0,0.0,7.0,4.0,0.0,3.0,0.08373656706239,716.4117085715683,1852.1863685021033,615.4539610221874
16.0,53.0,0.0,3.0,10070.0,0.0,22.0,9.0,92.0,6.0,0.0,0.126478941045378,1140.755555549029,2938.0793086251656,588.122864194166
1.0,34.0,0.0,1.0,15028.0,0.0,8.0,8.0,27.0,1.0,2.0,0.109771182739116,837.3733305240378,2212.0612148009996,341.9274432973154
1.0,29.0,0.0,1.0,16128.0,0.0,2.0,0.0,8.0,2.0,0.0,0.165615784038836,1519.5650578091634,5497.373865647554,1031.2837649951384
6.0,35.0,0.0,2.0,14671.0,1.0,5.0,3.0,10.0,1.0,0.0,0.169628162908786,1568.1037600753002,3983.8311742453575,1158.418993929501
15.0,38.0,0.0,0.0,12542.0,3.0,2.0,3.0,9.0,11.0,14.0,0.033099288851415,296.89405686360885,664.5708027807933,159.26105037054515
1.0,27.0,0.0,3.0,6028.0,0.0,13.0,2.0,10.0,1.0,0.0,0.154422691273411,2946.8213752416473,6401.511765054,1240.1452681377673
6.0,11.0,0.0,0.0,6601.0,0.0,1.0,2.0,1.0,0.0,0.0,0.141025181228895,3658.6770116168923,7258.024125748105,1067.9381547422279
3.0,35.0,0.0,0.0,3842.0,0.0,0.0,3.0,4.0,0.0,0.0,0.169788506319917,2770.913491415565,5317.740666262531,534.3596779712755
12.0,26.0,0.0,0.0,8992.0,0.0,7.0,5.0,43.0,0.0,2.0,0.152531219464687,1379.168922357916,3685.32023515312,655.670471284911
3.0,22.0,0.0,3.0,8825.0,0.0,0.0,0.0,6.0,0.0,0.0,0.168654909045639,3288.8453816932038,7253.794866243198,870.9137596121375
38.0,44.0,0.0,2.0,5639.0,0.0,7.0,6.0,20.0,2.0,0.0,0.184629868694719,1848.7771970051892,3647.4972496871333,517.257158006867
24.0,20.0,0.0,1.0,3928.0,0.0,8.0,3.0,20.0,1.0,13.0,0.111071477880306,3590.217447101944,5017.878883042091,383.83028769538384
7.0,19.0,0.0,4.0,5994.0,0.0,4.0,2.0,19.0,2.0,2.0,0.16869405105859,4696.192145310955,8263.561525339153,1266.3075892595025
2.0,13.0,0.0,4.0,5228.0,0.0,1.0,2.0,2.0,2.0,10.0,0.171246007968247,5302.919554298025,8645.734173053228,683.7575356544731
14.0,27.0,0.0,0.0,6549.0,0.0,3.0,2.0,20.0,1.0,0.0,0.174706621774472,3459.3476932784147,6799.063766039997,996.9301709736066
6.0,29.0,0.0,3.0,4249.0,0.0,11.0,2.0,23.0,2.0,0.0,0.145163139927475,2430.8099787275946,5451.0773425969855,1122.7759716986582
3.0,12.0,0.0,2.0,7604.0,0.0,0.0,0.0,7.0,0.0,0.0,0.127493164662089,3286.4644628660703,7109.355976489206,1195.0779864967528
4.0,18.0,1.0,3.0,5571.0,1.0,1.0,0.0,8.0,4.0,2.0,0.106667158238349,1955.7172581960579,4043.957451752424,726.868221218658
17.0,14.0,0.0,1.0,6712.0,0.0,9.0,5.0,23.0,2.0,0.0,0.149702482123926,2996.7543667930017,6457.698476050523,1030.7742810609186
4.0,18.0,0.0,0.0,7176.0,0.0,0.0,4.0,7.0,0.0,0.0,0.128223051082486,3144.6871834331914,6958.9238195345315,817.7284298979852
17.0,46.0,0.0,2.0,5475.0,2.0,8.0,8.0,19.0,5.0,1.0,0.106990543815314,1066.252332185891,2150.669099332359,414.14911710116377
