code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01033151,Enfield 025G,Enfield,0.0,3.0,2.0,2.0,16.0,6.0,61.0,2.0,0.0,20.0,16.0,61.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
E01033153,Waltham Forest 020G,Waltham Forest,0.0,6.0,4.0,0.0,13.0,3.0,31.0,4.0,1.0,8.0,6.0,31.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01033207,Lambeth 004F,Lambeth,1.0,5.0,9.0,0.0,26.0,4.0,70.0,6.0,5.0,13.0,11.0,70.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
E01033208,Lambeth 004G,Lambeth,0.0,1.0,8.0,0.0,2.0,9.0,26.0,3.0,0.0,15.0,13.0,26.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
E01033324,Lewisham 008E,Lewisham,0.0,2.0,1.0,0.0,0.0,4.0,13.0,3.0,3.0,10.0,10.0,13.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
E01033327,Lewisham 012F,Lewisham,0.0,4.0,29.0,3.0,84.0,16.0,91.0,11.0,5.0,29.0,23.0,91.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0
E01033341,Lewisham 012G,Lewisham,1.0,2.0,6.0,1.0,9.0,5.0,16.0,0.0,1.0,17.0,11.0,16.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
E01033424,Brent 017F,Brent,6.0,4.0,44.0,3.0,63.0,12.0,65.0,12.0,2.0,15.0,11.0,65.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0
E01033455,Brent 031G,Brent,0.0,1.0,23.0,0.0,29.0,2.0,44.0,1.0,0.0,10.0,10.0,44.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
E01033456,Brent 027F,Brent,0.0,7.0,0.0,0.0,3.0,6.0,9.0,5.0,3.0,20.0,16.0,9.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
E01033457,Brent 017G,Brent,1.0,1.0,23.0,0.0,18.0,4.0,66.0,4.0,0.0,2.0,2.0,66.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
E01033463,Brent 003G,Brent,0.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,6.0,6.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
