code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002264,Havering 026E,Havering,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3290813e-06,0.22015381,7.415414e-20,4.1371766e-30,2.415096e-28,1.960771e-30,2.1921778e-22,1.413e-40,3.1636964e-20,6.6478274e-34,0.0,4.6915167999999995e-36
E01002265,Havering 025A,Havering,0.0,1.0,1.0,1.0,5.0,4.0,14.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.8719845e-05,0.0,1.2385019e-16,1.6734114e-25,2.8079999999999997e-42,9.302312e-22,3.473961999999999e-21,5.221827999999999e-33,2.0554526999999997e-21,1.2189667999999999e-27,0.0,9.450771e-36
E01002266,Havering 027A,Havering,0.0,4.0,4.0,2.0,4.0,2.0,10.0,3.0,1.0,12.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.24148336,9.169413999999999e-27,5.7926499999999995e-06,0.0,1.6741627999999999e-15,2.7556855000000003e-14,0.15000162,1.6161366000000002e-21,4.121305300000001e-08,0.061239499999999995,1.0,0.18118525,0.19302751
E01002267,Havering 027B,Havering,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.493989e-18,1.01772424e-25,2.0691256999999997e-16,1.949e-42,3.5569822e-28,1.3598386e-17,3.140052e-39,0.2442456,0.0,1.1613792e-29,1.4034672e-25,1.0,3.2891506e-10
E01002268,Havering 010A,Havering,0.0,6.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,11.0,7.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.20669131,0.0,2.5270614e-07,3.5884505e-22,1.1254663e-06,0.015874341,2.4748449e-08,1.0188512e-06,0.032330144,2.88532e-07,8.783037e-05,0.28890770000000005,1.0
E01002269,Havering 010B,Havering,0.0,1.0,2.0,0.0,6.0,3.0,25.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.32047647,9.896469999999999e-22,5.5023890000000004e-11,0.0,3.1374827e-09,3.0694554e-08,0.28512922,1.26106e-09,0.0047098673,1.2377148e-15,7.0480655e-06,1.0,0.23426473
E01002270,Havering 015A,Havering,0.0,4.0,0.0,0.0,2.0,5.0,11.0,0.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.24952364,0.0,1.0182153e-08,4.4512885e-26,1.5376921000000002e-14,0.024256552,0.19654971,4.1322626e-11,0.15150712,2.8775669999999997e-12,0.07734384400000001,1.0,0.126553
E01002272,Havering 014A,Havering,0.0,1.0,5.0,0.0,3.0,6.0,17.0,1.0,0.0,7.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.8382195e-10,3.8155945999999995e-29,1.02208486e-26,0.018182646,8.376015e-23,0.23937039,9.698601e-11,0.0,9.523428499999999e-27,0.06483992,1.0,2.9209717999999996e-14,0.19440162
E01002273,Havering 015C,Havering,0.0,2.0,2.0,0.0,2.0,7.0,20.0,3.0,5.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.019309364,3.2444454e-23,7.0804395000000006e-12,1.2395806999999999e-26,6.0326217e-21,9.083874599999999e-11,0.015574658,3.458353e-23,3.100661e-23,0.0,1.3179113e-18,1.0,0.019499216
E01002274,Havering 014B,Havering,0.0,1.0,1.0,0.0,14.0,5.0,33.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8719845e-05,0.0,1.238502e-16,1.6734120999999999e-25,2.974e-42,9.302315e-22,3.4739634999999996e-21,5.2218343e-33,2.0554554e-21,1.218968e-27,0.0,9.450636e-36
E01002276,Havering 001A,Havering,0.0,2.0,5.0,1.0,8.0,10.0,23.0,4.0,55.0,19.0,15.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,0.9406675999999999,7.85427e-06,0.0,2.8763106e-10,0.019204434,0.016243828000000002,0.07485975,0.07418099,9.576369500000001e-05,5.658166999999999e-05,3.64372e-15,2.8335635e-12,1.0
