code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002024,Haringey 022D,Haringey,0.0,1.0,5.0,0.0,7.0,0.0,22.0,5.0,2.0,0.0,0.0,22.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002025,Haringey 021D,Haringey,0.0,0.0,0.0,0.0,1.0,1.0,13.0,18.0,3.0,2.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.4190431000000002e-08,0.0,4.994287299999999e-16,3.3766483e-09,4.6233410000000005e-12,3.615445e-10,1.2175546e-09,3.1484376e-07,1.8905817e-08,1.0,6.304466999999999e-13,7.0288043e-15,7.0404603e-13
E01002027,Haringey 010A,Haringey,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002039,Haringey 002C,Haringey,0.0,1.0,4.0,0.0,3.0,3.0,12.0,0.0,1.0,0.0,0.0,12.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002050,Haringey 029A,Haringey,0.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,5.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.05018513,1.4114186999999999e-07,0.0,9.606545e-07,6.617264299999999e-06,2.1781658e-11,0.61974686,0.17823489,0.00021127556,2.4018396e-08,1.1704539599999998e-07,2.7694316e-05,1.0
E01002064,Haringey 036C,Haringey,0.0,1.0,6.0,0.0,9.0,1.0,14.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002070,Haringey 024C,Haringey,0.0,1.0,1.0,0.0,9.0,2.0,35.0,3.0,1.0,1.0,1.0,35.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.6226885e-12,1.0,0.0008654527000000001,0.003993914,0.0,2.0380623e-06,1.4953187e-06,1.6869947e-14,1.2205216e-07,9.002136e-13,6.972457e-10,6.121790999999999e-07,7.720918e-15
E01002079,Haringey 012C,Haringey,0.0,0.0,2.0,0.0,4.0,1.0,6.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.21543172,3.4496e-06,0.00090309995,2.365515e-05,0.20030019,0.0,7.090048e-08,0.18213125,0.060245726,1.0,0.15103243,0.0031330807,0.28795904
E01002086,Haringey 013B,Haringey,0.0,2.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.332786e-07,3.1300036e-07,0.03842717,4.449449e-07,1.0,0.04920231,3.9431427e-08,4.260033e-06,2.6394898999999997e-08,8.210853e-08,1.8260156000000003e-08,0.0,2.9426213e-09
E01002101,Haringey 007B,Haringey,0.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1136189e-05,5.489903e-13,6.799321999999999e-21,6.320691e-12,4.9158507e-06,4.335975e-10,0.0,1.0,1.5034277e-05,1.4588991e-05,6.845554e-14,5.047935e-10,0.029842612999999997
E01002115,Harrow 002B,Harrow,0.0,1.0,0.0,2.0,3.0,1.0,10.0,0.0,0.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002124,Harrow 010A,Harrow,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002131,Harrow 023D,Harrow,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002141,Harrow 005B,Harrow,0.0,3.0,1.0,0.0,5.0,3.0,16.0,1.0,0.0,3.0,3.0,16.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5279901000000001e-06,1.5017848e-08,6.2207825e-08,5.543489000000001e-07,1.0,4.3112190000000004e-11,1.0867074e-05,8.399481e-06,7.137945e-05,0.35361916,2.0779969e-09,0.0,1.6190671000000001e-10
E01002147,Harrow 004C,Harrow,0.0,0.0,0.0,0.0,3.0,0.0,8.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.432388000000001e-07,1.4395148000000002e-08,2.8667795e-09,1.1731932e-09,1.0,0.0,6.6234203e-13,2.7586157000000004e-06,2.3829797999999997e-16,2.5699342e-07,4.1517139999999995e-09,3.6403320000000003e-14,2.0000558999999998e-11
E01002149,Harrow 004D,Harrow,0.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,2.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004212578,2.025359e-09,0.0,1.8996313e-10,0.00037351157999999994,8.795427e-10,2.0877538e-12,1.0,6.327335999999999e-05,0.006991174,6.264026e-08,0.00014481341,0.18370038
