code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004268,Tower Hamlets 012E,Tower Hamlets,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.5647552000000005e-08,2.0737612e-05,4.053839e-06,8.806028e-05,0.0,1.1146448000000002e-06,1.9212547000000002e-07
E01004269,Tower Hamlets 014A,Tower Hamlets,1.0,4.0,9.0,0.0,15.0,6.0,27.0,2.0,0.0,29.0,23.0,27.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.14568503,0.0,1.0,0.09658581,0.002498573,0.59802186,0.0015636956,0.60009146
E01004270,Tower Hamlets 014B,Tower Hamlets,0.0,0.0,24.0,1.0,16.0,7.0,41.0,5.0,3.0,24.0,18.0,41.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.03331072,7.0526374e-07,0.0,0.07229778,9.450806999999999e-07,1.0,0.54972506,0.0014107145000000001
E01004271,Tower Hamlets 014C,Tower Hamlets,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,0.0,3.0,3.0,11.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.10648865,6.1470274e-07,4.8962529999999996e-08,0.0,1.0,2.8508367e-07,1.4381538000000001e-08,2.1559198000000002e-07
E01004272,Tower Hamlets 014D,Tower Hamlets,0.0,2.0,2.0,0.0,5.0,6.0,5.0,0.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004273,Tower Hamlets 014E,Tower Hamlets,0.0,2.0,3.0,0.0,9.0,6.0,16.0,2.0,4.0,20.0,16.0,16.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.4132362e-07,2.2977824999999997e-05,4.02159e-06,8.822245999999999e-05,0.0,1.1066132e-06,2.0333603e-07
E01004275,Tower Hamlets 031B,Tower Hamlets,0.0,2.0,4.0,0.0,2.0,1.0,11.0,2.0,1.0,2.0,2.0,11.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004276,Tower Hamlets 031C,Tower Hamlets,0.0,0.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.553591e-07,2.4513065000000002e-05,4.1713373999999995e-06,8.926205e-05,0.0,1.1407122e-06,2.371013e-07
E01004277,Tower Hamlets 033A,Tower Hamlets,3.0,8.0,52.0,2.0,53.0,8.0,99.0,9.0,5.0,19.0,17.0,99.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.20434594,0.0,1.0,0.018015161000000002,0.0017988198000000002,0.54375815,0.2535873,0.0001228805
E01004280,Tower Hamlets 032A,Tower Hamlets,0.0,8.0,2.0,1.0,0.0,4.0,43.0,6.0,3.0,9.0,3.0,43.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
